Stateroutestop	Latitude	Longitude
2704111	34.9052	-83.4784
2704132	34.972008	-83.46505
6302205	35.4416	-83.8522
6303105	36.0494	-81.8589
6303117	36.090936	-81.810806
6390615	35.7216	-83.0743
6390627	35.737317	-83.04095
6390644	35.7753	-82.9594
6390909	35.879491	-81.833108
6390944	35.919012	-81.804563
6391006	35.0275	-83.2122
6391028	35.0357	-83.1746
6391108	35.2041	-83.5848
6391138	35.1564	-83.6398
8204206	36.288	-82.0659
8204219	36.2383	-82.0275
8204240	36.1736	-82.0653
8290243	35.321954	-84.066109
8290339	35.628	-83.174
8290344	35.623	-83.1914
8890009	37.738689	-79.270728
8890029	37.727003	-79.244753
8890223	37.540154	-79.56831
8890236	37.516956	-79.617772
8890517	37.53042	-80.20335
8890538	37.59545	-80.15082
8890721	38.388908	-78.513394
8890745	38.2907	-78.624381
8892025	36.684619	-81.550561
8892036	36.717633	-81.522403
8892112	38.615692	-78.350514
8892130	38.546686	-78.388992
8892217	38.256297	-78.666764
8892242	38.147886	-78.775
8892305	38.894586	-78.197647
8892346	38.753578	-78.298108
